playerID,yearID,teamID,PA,OBP,SLG,OPS
martivi01,2014,DET,641,0.4087,0.5651,0.9738
abreujo02,2014,CHA,622,0.3826,0.5809,0.9636
mccutan01,2014,PIT,648,0.4105,0.5420,0.9525
stantmi03,2014,MIA,638,0.3950,0.5547,0.9497
troutmi01,2014,LAA,705,0.3773,0.5615,0.9388
goldspa01,2014,ARI,475,0.3958,0.5419,0.9377
dickeco01,2014,COL,478,0.3640,0.5665,0.9305
bautijo02,2014,TOR,673,0.4033,0.5244,0.9277
rizzoan01,2014,CHN,616,0.3864,0.5267,0.9131
martijd02,2014,DET,480,0.3583,0.5533,0.9116
encared01,2014,TOR,542,0.3542,0.5472,0.9014
cabremi01,2014,DET,685,0.3708,0.5237,0.8945
mesorde01,2014,CIN,440,0.3591,0.5339,0.8929
brantmi02,2014,CLE,676,0.3846,0.5057,0.8903
beltrad01,2014,TEX,614,0.3876,0.4918,0.8794
ortizda01,2014,BOS,602,0.3555,0.5174,0.8729
puigya01,2014,LAN,640,0.3824,0.4803,0.8627
morneju01,2014,COL,550,0.3636,0.4960,0.8597
cruzne02,2014,BAL,678,0.3333,0.5253,0.8586
poseybu01,2014,SFN,605,0.3636,0.4899,0.8536
kempma01,2014,LAN,599,0.3456,0.5065,0.8520
werthja01,2014,WAS,629,0.3943,0.4551,0.8493
freemfr01,2014,ATL,708,0.3856,0.4613,0.8469
lucrojo01,2014,MIL,655,0.3725,0.4650,0.8375
harrijo05,2014,PIT,550,0.3467,0.4904,0.8371
canoro01,2014,SEA,665,0.3820,0.4538,0.8357
gomezca01,2014,MIL,644,0.3561,0.4774,0.8335
uptonju01,2014,ATL,640,0.3422,0.4912,0.8334
martiru01,2014,PIT,460,0.4017,0.4301,0.8318
altuvjo01,2014,HOU,707,0.3768,0.4530,0.8298
dudalu01,2014,NYN,596,0.3490,0.4805,0.8295
arenano01,2014,COL,467,0.3283,0.5000,0.8283
santada01,2014,MIN,430,0.3528,0.4716,0.8244
rendoan01,2014,WAS,683,0.3510,0.4731,0.8240
stubbdr01,2014,COL,424,0.3389,0.4820,0.8208
larocad01,2014,WAS,586,0.3618,0.4555,0.8172
gonzaad01,2014,LAN,660,0.3348,0.4822,0.8171
ramirha01,2014,LAN,512,0.3691,0.4477,0.8168
hollima01,2014,SLN,667,0.3703,0.4408,0.8111
morsemi01,2014,SFN,482,0.3361,0.4749,0.8110
gattiev01,2014,ATL,401,0.3167,0.4932,0.8099
walkene01,2014,PIT,571,0.3421,0.4668,0.8089
martest01,2014,PIT,545,0.3560,0.4525,0.8085
cabreme01,2014,TOR,621,0.3506,0.4577,0.8083
smithse01,2014,SDN,520,0.3673,0.4402,0.8075
coghlch01,2014,CHN,432,0.3520,0.4519,0.8039
cartech02,2014,HOU,572,0.3077,0.4911,0.7988
donaljo02,2014,OAK,695,0.3424,0.4556,0.7980
frazito01,2014,CIN,660,0.3364,0.4590,0.7953
santaca01,2014,CLE,660,0.3652,0.4270,0.7921
pujolal01,2014,LAA,695,0.3237,0.4660,0.7898
napolmi01,2014,BOS,500,0.3700,0.4193,0.7893
seageky01,2014,SEA,654,0.3338,0.4542,0.7881
gomesya01,2014,CLE,518,0.3127,0.4722,0.7849
gordoal01,2014,KCA,643,0.3515,0.4316,0.7831
jonesad01,2014,BAL,682,0.3109,0.4689,0.7798
peraljh01,2014,SLN,628,0.3360,0.4429,0.7788
adamsma01,2014,SLN,563,0.3215,0.4573,0.7788
uribeju01,2014,LAN,404,0.3366,0.4404,0.7770
braunry02,2014,MIL,580,0.3241,0.4528,0.7770
castrst01,2014,CHN,569,0.3392,0.4375,0.7767
pencehu01,2014,SFN,708,0.3319,0.4446,0.7765
valbulu01,2014,CHN,547,0.3407,0.4351,0.7758
calhoko01,2014,LAA,537,0.3252,0.4503,0.7755
blackch02,2014,COL,648,0.3349,0.4401,0.7750
fowlede01,2014,HOU,505,0.3750,0.3986,0.7736
dunnad01,2014,CHA,435,0.3402,0.4325,0.7727
mossbr01,2014,OAK,580,0.3345,0.4380,0.7725
ozunama01,2014,MIA,612,0.3170,0.4549,0.7719
spande01,2014,WAS,668,0.3549,0.4164,0.7713
chiselo01,2014,CLE,532,0.3428,0.4268,0.7696
cespeyo01,2014,OAK,432,0.3032,0.4637,0.7669
hunteto01,2014,DET,586,0.3191,0.4463,0.7654
yelicch01,2014,MIA,660,0.3623,0.4021,0.7643
eatonad02,2014,CHA,538,0.3619,0.4012,0.7632
norride01,2014,OAK,442,0.3605,0.4026,0.7631
doziebr01,2014,MIN,707,0.3452,0.4164,0.7616
byrdma01,2014,PHI,637,0.3124,0.4450,0.7574
ramirar01,2014,MIL,531,0.3296,0.4271,0.7567
daviskh01,2014,MIL,549,0.2987,0.4571,0.7558
gennesc01,2014,MIL,474,0.3197,0.4341,0.7538
