playerID,yearID,teamID,PA,OBP,SLG,OPS
gillaco01,2014,CHA,506,0.3360,0.4159,0.7519
arciaos01,2014,MIN,410,0.3000,0.4516,0.7516
plouftr01,2014,MIN,582,0.3282,0.4231,0.7513
cainlo01,2014,KCA,502,0.3386,0.4119,0.7505
jayjo02,2014,SLN,468,0.3720,0.3777,0.7498
carpema01,2014,SLN,709,0.3748,0.3748,0.7496
gardnbr01,2014,NYA,636,0.3274,0.4216,0.7491
zobribe01,2014,TBA,654,0.3543,0.3947,0.7490
ellsbja01,2014,NYA,634,0.3281,0.4191,0.7472
utleych01,2014,PHI,664,0.3389,0.4075,0.7463
kendrho01,2014,LAA,674,0.3472,0.3971,0.7443
desmoia01,2014,WAS,648,0.3133,0.4300,0.7433
sandopa01,2014,SFN,638,0.3245,0.4150,0.7394
rosarwi01,2014,COL,410,0.3049,0.4346,0.7394
heywaja01,2014,ATL,649,0.3513,0.3839,0.7353
murphda08,2014,NYN,642,0.3318,0.4027,0.7345
mauerjo01,2014,MIN,518,0.3610,0.3714,0.7324
joycema01,2014,TBA,493,0.3489,0.3828,0.7317
paganan01,2014,SFN,413,0.3422,0.3890,0.7313
jacksau01,2014,DET,420,0.3317,0.3984,0.7301
markani01,2014,BAL,710,0.3423,0.3863,0.7285
grandya01,2014,SDN,443,0.3273,0.4005,0.7278
suzukku01,2014,MIN,503,0.3446,0.3827,0.7274
kinslia01,2014,DET,726,0.3071,0.4196,0.7266
reyesjo01,2014,TOR,655,0.3277,0.3984,0.7261
longoev01,2014,TBA,700,0.3205,0.4038,0.7243
davisra01,2014,DET,494,0.3198,0.4013,0.7211
escobed01,2014,MIN,465,0.3145,0.4065,0.7210
jonesga02,2014,MIA,547,0.3090,0.4113,0.7202
molinya01,2014,SLN,445,0.3333,0.3861,0.7195
darnatr01,2014,NYN,421,0.3024,0.4156,0.7180
rolliji01,2014,PHI,609,0.3234,0.3941,0.7175
ruizca01,2014,PHI,445,0.3468,0.3701,0.7169
alvarpe01,2014,PIT,445,0.3124,0.4045,0.7169
loneyja01,2014,TBA,651,0.3364,0.3800,0.7164
hosmeer01,2014,KCA,547,0.3181,0.3976,0.7157
grandcu01,2014,NYN,654,0.3257,0.3883,0.7140
choosh01,2014,TEX,529,0.3403,0.3736,0.7139
ramiral03,2014,CHA,657,0.3049,0.4084,0.7132
crawfbr01,2014,SFN,564,0.3238,0.3890,0.7128
pedrodu01,2014,BOS,609,0.3366,0.3757,0.7123
navardi01,2014,TOR,520,0.3173,0.3950,0.7123
mcgehca01,2014,MIA,691,0.3546,0.3571,0.7117
holtbr01,2014,BOS,492,0.3306,0.3808,0.7114
teixema01,2014,NYA,508,0.3130,0.3977,0.7107
aokino01,2014,KCA,549,0.3494,0.3605,0.7098
riosal01,2014,TEX,521,0.3109,0.3984,0.7093
blancgr01,2014,SFN,444,0.3333,0.3740,0.7074
navada01,2014,BOS,408,0.3456,0.3609,0.7065
davisch02,2014,BAL,525,0.2996,0.4044,0.7041
freesda01,2014,LAA,511,0.3209,0.3831,0.7041
gordode01,2014,LAN,650,0.3261,0.3777,0.7038
murphda07,2014,CLE,462,0.3189,0.3846,0.7035
lagarju01,2014,NYN,452,0.3207,0.3822,0.7029
beltrca01,2014,NYA,449,0.3007,0.4020,0.7027
butlebi03,2014,KCA,603,0.3234,0.3789,0.7023
aybarer01,2014,LAA,641,0.3213,0.3786,0.6999
casteni01,2014,DET,579,0.3057,0.3940,0.6997
crispco01,2014,OAK,536,0.3364,0.3629,0.6993
ascheco01,2014,PHI,434,0.3086,0.3904,0.6990
montemi01,2014,ARI,560,0.3286,0.3701,0.6987
odorro01,2014,TEX,417,0.2968,0.4016,0.6984
wrighda03,2014,NYN,586,0.3242,0.3738,0.6981
jennide01,2014,TBA,542,0.3189,0.3779,0.6968
escobal02,2014,KCA,620,0.3170,0.3765,0.6935
mercejo03,2014,PIT,555,0.3055,0.3874,0.6928
flowety01,2014,CHA,442,0.2971,0.3956,0.6926
mccanbr01,2014,NYA,538,0.2862,0.4061,0.6923
perezsa02,2014,KCA,606,0.2888,0.4031,0.6919
cabreas01,2014,CLE,416,0.3053,0.3862,0.6915
ackledu01,2014,SEA,542,0.2931,0.3984,0.6915
howarry01,2014,PHI,648,0.3102,0.3796,0.6898
martile01,2014,TEX,583,0.3247,0.3640,0.6886
pradoma01,2014,ARI,436,0.3165,0.3697,0.6862
vicieda01,2014,CHA,563,0.2806,0.4054,0.6860
castiwe01,2014,CHN,417,0.2964,0.3895,0.6859
reverbe01,2014,PHI,626,0.3247,0.3611,0.6858
avilaal01,2014,DET,457,0.3268,0.3590,0.6857
hardyjj01,2014,BAL,569,0.3092,0.3724,0.6816
saltaja01,2014,MIA,435,0.3195,0.3619,0.6815
reynoma01,2014,MIL,433,0.2870,0.3942,0.6812
wongko01,2014,SLN,433,0.2921,0.3881,0.6801
phillbr01,2014,CIN,499,0.3058,0.3723,0.6781
inciaen01,2014,ARI,447,0.3183,0.3589,0.6771
lowrije01,2014,OAK,566,0.3209,0.3546,0.6755
bournmi01,2014,CLE,487,0.3140,0.3604,0.6744
grossro01,2014,HOU,422,0.3365,0.3333,0.6698
parrage01,2014,ARI,440,0.3050,0.3621,0.6671
escobyu01,2014,TBA,529,0.3238,0.3403,0.6641
hechaad01,2014,MIA,573,0.3076,0.3563,0.6639
deazaal01,2014,CHA,439,0.3089,0.3544,0.6634
lemahdj01,2014,COL,538,0.3145,0.3482,0.6627
bogaexa01,2014,BOS,594,0.2973,0.3625,0.6598
zuninmi01,2014,SEA,476,0.2542,0.4041,0.6583
bruceja01,2014,CIN,545,0.2813,0.3732,0.6545
hillaa01,2014,ARI,541,0.2865,0.3673,0.6538
millebr02,2014,SEA,409,0.2882,0.3651,0.6533
johnsch05,2014,ATL,611,0.2923,0.3608,0.6531
tejadru01,2014,NYN,419,0.3422,0.3099,0.6520
castrja01,2014,HOU,512,0.2857,0.3656,0.6513
hamilbi02,2014,CIN,611,0.2924,0.3552,0.6476
andruel01,2014,TEX,684,0.3141,0.3328,0.6469
kipnija01,2014,CLE,555,0.3105,0.3300,0.6405
browndo01,2014,PHI,512,0.2852,0.3488,0.6340
infanom01,2014,KCA,575,0.2947,0.3371,0.6319
moustmi01,2014,KCA,500,0.2705,0.3611,0.6316
uptonbj01,2014,ATL,582,0.2867,0.3333,0.6200
simmoan01,2014,ATL,576,0.2857,0.3315,0.6172
jeterde01,2014,NYA,634,0.3035,0.3133,0.6168
segurje01,2014,MIL,557,0.2888,0.3255,0.6144
venabwi01,2014,SDN,448,0.2876,0.3251,0.6128
gyorkje01,2014,SDN,443,0.2799,0.3325,0.6124
swishni01,2014,CLE,401,0.2775,0.3306,0.6081
amarial01,2014,SDN,466,0.2860,0.3144,0.6004
beckhgo01,2014,CHA,422,0.2625,0.3359,0.5984
schoojo01,2014,BAL,481,0.2437,0.3538,0.5975
dominma01,2014,HOU,607,0.2562,0.3298,0.5860
callaal01,2014,OAK,451,0.2905,0.2896,0.5801
cozarza01,2014,CIN,543,0.2677,0.3004,0.5681
bradlja02,2014,BOS,423,0.2654,0.2656,0.5310
